,"Textiles, industries de l'habillement, industrie du cuir et de la chaussure 001562874",Textiles 001563047,Préparation de fibres textiles et filature 001563401,Tissage 001563404,Ennoblissement textile 001563407,Autres textiles 001563410,Industrie de l'habillement 001563050,"Vêtements, autres qu'en fourrure 001563413",Articles à mailles 001563416,Industrie automobile 001562965,Construction de véhicules automobiles 001562980,Carrosseries et remorques 001562983,Equipements automobiles 001562986,Autres matériels de transport 001562967,Navale 001562989,Locomotives et autre matériel ferroviaire roulant 001562992,Aéronautique et spatiale 001563059,Matériels de transport n.c.a. 001563062,"Produits informatiques, électroniques et optiques 001562888",Composants et cartes électroniques 001562745,Ordinateurs et d'équipements périphériques 001562748,Equipements de communication 001562751,Produits électroniques grand public 001562814,"Instruments et d'appareils de mesure, d'essai et de navigation - horlogerie 001562817","Equipements d'irradiation médicale, d'équipements électro médicaux et électro thérapeutiques",Matériels optique et photographique 001562823,Equipements électriques 001562890,"Moteurs, génératrices et transformateurs électriques etmatériel de distribution et de commande électrique",Piles et accumulateurs électriques 001562829,Fils et câbles et matériel d'installation électrique 001562892,Appareils d'éclairage électrique 001562895,Appareils ménagers 001562898,Autres matériels électriques 001562901,Machines et équipements n.c.a. 001562953,Machines d'usage général 001562904,Autres machines d'usage général 001562907,Machines agricoles et forestières 001562910,Machines de formage des métaux et machines-outils 001562974,Autres machines d'usage spécifique 001562977,Industries alimentaires 001563038,Transformation et conservation de la viande et préparation de produits à base de viande  001563291,Transformation et conservation de fruits et légumes 001563294,Fabrication d'huiles et graisses végétales et animales 001563297,Fabrication de produits laitiers 001563340,Travail des grains - fabrication de produits amylacés 001563343,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires 001563346,Fabrication d'autres produits alimentaires001563349,Fabrication d'aliments pour animaux 001563352,Fabrication de boissons 001563041,Fabrication de produits à base de tabac 001563044
1990-11-30,351.250629771,186.541304629,261.793111835,180.904154973,259.171149071,166.935604487,686.534771504,856.210793412,310.527151969,53.120361565,64.725872359,62.155999763,41.8102615,86.372328107,127.29785311,78.7,72.461449137,147.4,79.369841972,31.846454654,27.092332263,79.4,44.7,174.525988012,65,49.3,113.143957828,114.536560473,130.837704427,103.605611563,73.191987966,158.569408741,91.4,87.312740445,81.66644612,72.119098607,89.034027741,189.2,112.866437277,97.876348738,87.095599574,65.840022287,106.6,77.366477832,84.309067542,104.537842618,176.625276488,92.375994879,101.349517107,217.581140895
1990-12-31,323.132813895,155.106666183,204.825301974,145.316820669,228.200794609,140.115547577,665.798859959,835.109815655,297.911782759,43.491898229,53.348255282,61.045598888,34.309289949,78.457522814,130.421979478,79.4,62.068635181,92.2,107.94879892,32.917958474,77.264072219,116.4,37.1,222.345707019,121.9,49.3,104.539564438,107.866171482,100.207603179,104.537160084,72.985160075,126.230337884,85.5,95.471427024,73.754360339,87.315063798,74.884537597,228,136.798453831,80.07972528,85.485979268,42.25832922,92.3,78.346268904,76.899867882,98.746755333,114.518386374,91.509507978,80.77173862,164.434669577
1991-01-31,393.421700447,176.61106995,244.377645557,168.545512118,248.04895932,158.972997794,843.018811045,1040.929625359,402.418586947,52.09699112,62.988808538,83.695873186,40.027220745,113.66905867,140.832907042,122,106.068929623,95.4,43.558701801,26.087833544,43.944406182,50.3,47.6,68.042331704,23.9,46.9,96.040146772,111.267281725,115.490614317,73.099461701,51.544107269,114.760665014,69.8,76.328634774,76.845683923,62.80180631,90.300094865,111.8,93.16599582,77.600756333,97.446986218,39.9717365,113,85.415954263,78.945322858,102.79003498,69.101719221,100.896914747,77.923286807,225.852741259
1991-02-28,387.8,167.459793077,231.7,161.5,245,147.295074039,848.3,1071.3,357.3,48.7,55.2,88.7,40.6,107.9,135.5,61.2,102.6,167.1,49.3,24.8,36.3,61.7,39.5,83.5,34.8,43.8,97.440675937,115.356612422,87.2,80.2,48.9,101.7,79.7,79.3,77.7,65.13598262,80.7,139.8,102.4,74.620227279,86.3,35.7,103.8,80.469249482,74.983338303,126.3,76.6,92.508944892,68.1,205.6
1991-03-31,410.294101974,181.991502255,259.012782867,172.836637861,270.372296295,159.911899465,864.41867277,1111.647703423,325.267856028,55.509859591,65.283885581,93.81422304,45.57943535,125.676373601,154.722301126,74.6,119.275227273,198.3,63.649028706,27.838026611,68.567514217,82.5,53,100.433985415,82.9,57.6,108.507152058,129.686427545,122.955150097,85.045870878,62.967589084,101.107823656,86.9,92.937684268,88.246449396,77.714449144,96.309835853,143.5,125.229445125,80.594376471,99.121779642,34.97938256,104.7,92.450656341,82.537376138,124.389891796,81.549415947,100.972423008,74.630588389,220.157415662
1991-04-30,347.28217609,172.283091699,233.353669735,173.263112772,263.6436682,149.095026309,710.122944684,848.974930027,401.101664502,53.94771742,60.69024206,98.974521916,44.624038691,85.879897502,93.621694917,65.5,81.605159816,175.4,60.162778353,24.703324638,25.493704911,79.4,48.8,105.803290183,41,70.2,94.619992866,106.946788393,69.31305958,76.96224492,59.147038924,130.285120172,61.8,80.856166919,82.001264061,69.333809281,88.445697161,104.5,94.402798461,77.965953527,94.125737656,30.533061695,121.3,93.036885444,76.503147551,119.485869032,80.221424461,92.474058568,87.431111469,201.099198802
1991-05-31,312.550589764,166.077410817,206.826454647,155.200266291,239.357480037,152.082527301,626.640036159,785.236730089,274.0886335,51.312102365,59.488808538,83.49894172,41.715713928,76.235482169,106.974124513,154.7,53.911873237,152.4,56.360741161,25.79138089,40.893317751,69.6,42.9,96.655508764,66.1,77.8,86.818723078,98.153987309,66.784991684,77.491285167,54.101639309,96.465486533,67.2,77.120630985,76.152488321,68.060093411,62.33619452,108.2,96.330870413,75.741469612,90.210823875,37.29372934,94.8,95.982876439,75.992255918,106.593461322,68.905685975,91.768608696,84.036819894,144.083454552
1991-06-30,370.906767718,188.662840515,236.352613281,178.293342433,272.559801017,172.269037704,742.920328694,944.918184083,304.54591174,60.595620135,73.285319103,98.506003924,47.231626009,94.433546899,120.819348687,52.9,88.470205099,150.1,81.124891358,27.642616233,67.725763206,103.7,19.3,128.153229037,178,71.9,113.986180468,135.911957958,77.552051682,90.913206406,83.254067397,124.769151167,67.1,92.639566911,90.359155392,84.910873795,73.102765976,157.6,107.967982455,101.084213814,94.26154822,134.622647009,98.8,91.569908694,76.689141072,124.391232816,74.134369169,94.61374349,95.672809995,213.456890442
1991-07-31,376.577656687,156.528205808,173.797134893,138.19743457,200.489965939,153.657491985,862.259057786,1092.344522478,351.300813381,56.021434895,69.988808538,82.218887189,41.517067671,69.687049726,79.788957091,54.7,64.733243814,146.3,49.641030271,24.803205377,37.612995147,69.1,52.6,73.450320495,48.1,48.3,101.14135988,112.343746192,75.478895927,96.229731958,82.332858367,93.921771878,82.5,78.110626248,75.360264775,70.044352694,56.219091319,143.4,95.539651764,103.728627634,98.12236137,165.441331219,98.6,84.437535542,73.137624543,95.865848563,65.083037678,83.99983759,87.045066333,165.946385156
1991-08-31,209.325491313,71.386169662,90.157037587,64.423676402,103.106606846,66.273969964,485.784531868,624.275737284,181.203992414,21.468123583,17.86853191,25.766312527,24.727975109,66.653709023,57.680073378,35,72.807836276,74,45.12949193,21.743062749,31.99625516,68.3,27.1,69.795976978,36.6,28.6,74.337255102,75.672284213,71.344083548,73.497464002,72.799544979,73.969323564,71.8,55.192416943,55.289939907,48.063253586,33.363418312,91.7,69.828335548,108.390601832,91.745970408,197.468994903,98.1,78.083416022,76.199990898,90.27648157,61.505013561,86.320929338,74.773489618,63.89888874
