Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Norway,United States,Japan
178,190,219,82,,30,36,283,1275,1236,128,1172,7,60,88,5,105,4,210,74,1554,186,316,32,210,108,140,610,2,39,3755,1320
176,189,233,80,,33,35,309,1276,1294,132,1126,8,60,93,5,105,4,212,74,1557,186,285,32,213,99,130,566,2,39,3586,1250
184,187,238,82,,41,38,291,1235,1313,133,968,8,62,97,5,105,4,204,90,1590,184,315,32,225,95,133,536,2,40,3433,1110
193,195,228,96,,39,42,347,1282,1343,136,1165,8,65,99,6,108,4,229,103,1652,176,364,33,232,107,150,542,2,41,3920,1250
192,191,240,91,,31,43,341,1288,1333,137,1083,8,67,99,6,109,4,235,111,1651,183,313,33,236,106,152,567,2,40,3758,1240
182,190,231,85,,26,42,338,1277,1289,137,1105,8,67,97,5,110,4,241,95,1618,179,323,31,237,113,160,573,2,38,3795,1290
163,191,222,76,,26,38,326,1282,1234,135,1081,8,68,91,6,108,4,230,101,1550,178,288,30,236,127,152,571,2,41,3464,1340
157,185,219,71,,29,37,321,1246,1199,130,1019,7,66,86,5,111,4,234,99,1498,179,276,30,234,156,166,564,3,46,3500,1300
167,177,216,73,,26,39,314,1238,1158,126,888,10,63,83,5,113,4,241,101,1487,180,273,29,233,124,198,581,2,48,4133,1160
205,168,221,78,,28,42,320,1203,1159,125,914,11,59,82,5,116,5,214,110,1483,178,293,29,233,109,161,595,2,51,4215,1180
219,165,223,84,,31,42,320,1206,1213,125,840,10,59,82,6,120,5,222,96,1482,196,304,31,228,109,147,615,3,49,3815,1280
214,165,224,85,,32,37,319,1223,1225,127,1076,9,61,83,6,120,5,234,117,1481,202,285,31,229,92,167,626,2,47,3565,1200
198,173,239,81,,33,37,312,1244,1297,131,1147,9,65,88,6,122,5,242,108,1485,204,310,33,221,103,151,597,2,41,3503,1220
183,173,224,78,,30,36,329,1255,1337,133,1074,11,67,88,6,124,5,240,99,1503,200,297,33,218,99,148,569,2,39,3441,1080
184,170,209,76,,29,38,337,1188,1296,132,945,12,68,87,6,127,4,236,108,1544,210,322,34,221,91,155,556,2,43,3214,1000
192,169,225,83,,28,38,316,1191,1282,134,982,12,66,81,6,134,4,261,99,1505,214,311,36,222,119,158,576,2,46,3597,1130
