Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Norway,United States,Japan
200,227,181,72,,29,52,181,1000,1247,127,900,7,54,95,4,122,9,220,107,1677,221,496,33,236,109,180,838,2,54,4683,2060
206,230,183,75,,32,55,191,1044,1268,129,976,7,56,98,4,127,8,203,106,1743,215,480,34,260,114,177,833,3,58,4512,1890
208,247,220,87,,34,59,233,1046,1282,133,941,7,64,100,4,139,8,241,115,1850,214,554,35,275,134,187,830,3,57,5224,1980
202,242,226,85,,38,60,202,1027,1249,134,948,7,69,99,4,143,8,245,113,1862,215,472,35,277,123,208,831,2,59,5012,2060
190,235,186,83,,40,60,214,1009,1210,133,1031,7,69,96,4,138,7,249,135,1837,213,488,35,272,129,204,811,4,59,5039,2050
171,233,204,79,,38,59,200,1012,1179,128,863,7,65,89,4,133,8,246,129,1748,214,533,32,264,145,191,775,3,57,4373,2010
163,227,213,75,,40,58,185,986,1150,122,930,6,62,83,4,131,8,233,97,1679,219,447,30,251,157,204,791,8,60,4292,1900
167,219,183,78,,34,60,174,980,1102,118,952,7,59,80,4,131,7,237,97,1652,221,498,30,245,117,221,833,3,60,4483,1930
195,211,195,85,,37,58,180,975,1090,116,775,7,61,80,4,131,7,217,90,1633,221,466,30,239,103,167,855,1,59,4302,2000
208,209,210,89,,40,56,187,1007,1159,116,770,7,63,79,4,135,7,221,112,1602,228,496,30,233,101,173,839,2,60,4125,1860
208,211,189,81,,39,54,174,985,1186,119,897,7,64,77,4,135,6,225,105,1576,234,461,31,235,91,174,809,1,58,3980,1890
197,223,203,69,,38,54,177,953,1248,121,898,6,64,77,4,139,6,226,111,1546,236,484,32,230,100,152,816,2,59,4028,1890
189,225,201,64,,33,54,196,945,1291,122,1016,8,63,78,4,139,6,233,108,1538,239,484,31,233,108,171,806,2,56,4224,1820
192,221,184,67,,37,54,193,946,1283,124,940,8,61,80,4,147,6,222,103,1558,240,485,32,244,104,177,810,2,56,4386,1700
199,215,219,88,,36,52,195,960,1296,129,958,8,59,78,5,150,7,251,110,1646,240,513,33,248,130,180,822,4,58,4846,1820
202,202,217,88,,38,51,189,951,1258,130,999,9,60,78,5,157,7,264,119,1633,245,509,33,245,122,204,826,2,61,4959,1930
200,194,201,85,,34,54,195,965,1222,130,988,9,60,78,4,156,8,261,130,1684,247,515,32,244,120,191,812,3,64,4630,1910
191,193,188,71,,35,59,178,964,1197,124,886,8,61,76,4,158,8,245,124,1615,251,420,30,232,139,206,796,3,62,3992,1840
190,187,178,60,,36,62,168,912,1175,118,875,9,60,70,4,157,7,236,119,1587,244,418,29,224,139,202,793,4,62,3830,1830
180,179,174,59,,32,65,170,869,1121,114,894,10,58,63,4,155,7,238,111,1558,244,403,29,221,119,237,830,1,64,4038,1750
194,171,179,61,,24,63,173,824,1107,112,703,8,55,56,4,157,6,218,120,1526,249,379,32,215,91,187,861,1,64,3871,1740
196,169,182,64,,23,61,172,820,1171,111,782,8,53,51,4,159,6,213,112,1489,251,369,34,210,94,176,859,2,62,3694,1670
