Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Norway,Turkey,United States,Japan
409,332,254,176,1892,44,235,1132,5152,3004,295,3137,59,96,136,17,310,12,614,254,1274,620,611,93,301,324,420,1783,13,125,2789,8371,2260
398,311,256,177,1934,41,239,1194,5002,2885,277,3067,62,97,139,17,306,11,595,247,1224,609,616,92,304,280,456,1817,6,131,2880,8638,2260
405,295,270,181,1914,36,237,1185,4870,2853,275,2689,66,98,126,18,304,11,580,249,1229,607,597,91,308,232,350,1831,6,129,2970,8804,2240
405,280,255,183,1818,37,231,1115,4845,3011,272,2473,63,97,122,17,293,11,570,243,1234,619,627,88,308,222,337,1823,7,128,3058,8162,2270
410,264,247,174,1808,38,214,1182,4838,2965,276,2865,56,96,119,17,290,11,608,257,1234,633,616,83,313,225,348,1775,7,124,3103,7627,2280
430,259,241,171,1852,41,209,1181,4861,3084,293,3096,49,97,123,18,284,12,617,231,1213,639,597,84,309,234,349,1654,7,125,3147,7599,2080
436,261,232,171,1939,44,206,1161,4780,3150,301,3102,55,98,127,18,281,11,591,274,1209,634,601,82,302,216,325,1597,7,125,3125,7573,2100
437,263,237,180,1903,44,205,1182,4697,3121,299,2950,54,100,139,19,279,11,565,252,1208,633,608,86,298,241,345,1586,4,128,3204,7543,2050
423,275,241,185,1871,45,200,1221,4778,3215,304,3062,57,102,127,19,275,11,603,277,1235,630,599,89,292,245,388,1661,5,140,3290,8310,2110
409,280,235,189,2007,44,198,1177,4817,3195,297,3113,58,102,122,19,273,11,612,287,1213,640,578,87,286,248,396,1669,6,141,3224,8218,2130
402,283,217,188,1943,47,200,1187,4779,3041,280,3086,56,100,119,18,265,11,599,262,1161,623,577,85,278,273,406,1612,7,141,3023,8116,2160
401,278,211,185,1793,45,205,1128,4710,2911,255,3048,50,97,117,17,251,11,587,265,1102,594,543,80,270,264,381,1547,9,136,2824,7413,2250
389,266,198,182,1787,45,211,1119,4583,2849,229,2964,48,93,119,17,234,11,557,282,1064,559,534,77,264,298,400,1578,8,134,2895,7207,2160
384,253,220,183,1800,48,218,1089,4431,2742,217,2971,52,93,121,16,228,10,528,273,1031,544,515,75,263,264,414,1627,4,133,3127,8144,2100
400,239,230,189,1809,48,214,1088,4329,2724,216,2755,56,96,115,17,227,10,517,277,1032,539,518,74,263,214,341,1677,4,135,3324,8267,2030
397,228,198,193,1767,53,207,1125,4319,2924,213,2565,56,95,110,17,226,10,484,289,1031,550,509,73,262,195,350,1638,6,135,3493,7996,2120
379,219,211,195,1621,48,182,1064,4314,2882,215,3045,52,93,108,17,219,9,514,272,1018,556,530,73,265,204,317,1633,6,132,3523,7660,2040
365,217,200,191,1696,49,172,1084,4285,3045,232,3103,49,90,104,18,208,10,510,252,980,550,475,79,258,217,338,1568,5,127,3647,7447,1950
360,213,186,185,1677,45,166,1148,4272,3099,240,3292,57,90,108,18,205,9,495,255,955,543,485,80,251,213,328,1500,5,117,3715,7067,1970
366,215,191,184,1517,43,165,1140,4157,3042,245,3101,57,92,124,19,198,9,458,249,939,530,496,83,249,207,337,1480,5,112,3872,7170,1920
385,223,192,187,1734,41,166,1132,4258,3049,255,3204,58,93,118,18,203,9,509,256,949,530,469,84,245,242,385,1517,7,110,3985,8149,1970
387,226,187,192,1861,38,165,1137,4277,2958,250,3073,58,91,119,18,207,9,504,274,929,524,484,80,240,242,392,1519,6,121,3900,7888,1890
376,225,174,179,1689,39,160,1076,4231,2851,235,3137,55,90,116,17,209,9,489,263,902,513,490,73,234,260,362,1473,3,125,3642,7284,1880
360,222,178,168,1762,44,158,1036,4065,2739,214,2889,47,88,106,16,203,9,471,250,885,492,441,68,229,279,386,1398,6,127,3287,6555,1970
345,213,149,164,1554,49,159,1045,3914,2705,188,2881,44,86,99,15,196,9,456,250,869,461,464,65,224,297,387,1426,10,125,3225,6571,2100
340,207,149,169,1550,46,165,969,3764,2630,175,2765,44,86,102,15,193,9,425,224,835,450,449,64,217,250,407,1457,5,121,3251,7251,1920
369,206,154,175,1571,41,170,972,3706,2695,177,2789,45,86,96,16,195,9,413,252,821,442,442,67,219,207,362,1476,2,118,3443,7441,1910
369,202,150,177,1636,37,166,984,3729,2860,178,2620,44,84,94,15,189,9,388,245,817,444,444,67,219,202,326,1463,5,114,3404,7288,1890
351,192,144,169,1551,39,154,954,3760,2717,176,2832,39,82,96,16,183,10,424,247,815,440,436,63,223,214,332,1457,6,111,3419,6556,1900
335,190,139,162,1591,36,149,981,3796,2750,187,2953,36,80,89,16,178,10,407,226,786,440,428,61,218,197,337,1415,7,107,3287,6241,1810
317,189,126,153,1457,37,143,1032,3786,2747,194,3004,46,79,93,16,175,9,395,248,770,422,425,58,212,190,308,1390,3,106,3275,6286,1780
311,189,122,158,1500,40,140,1008,3718,2755,191,2762,48,80,109,17,174,9,371,240,751,420,422,59,208,227,321,1370,6,107,3291,6278,1750
310,191,140,152,1545,47,134,993,3812,2917,198,3070,50,81,102,17,178,9,407,243,747,420,419,63,202,238,376,1391,8,108,3409,7188,1600
307,188,137,157,1637,47,131,1037,3820,2890,192,2923,48,80,103,17,178,9,398,237,711,410,410,62,194,233,337,1414,5,110,3354,7091,1660
307,187,112,152,1510,42,134,973,3756,2787,178,3013,42,80,107,17,177,9,384,226,669,396,412,58,187,240,352,1373,5,111,3210,6671,1720
313,187,120,152,1513,36,138,942,3620,2661,158,2979,33,78,89,16,171,9,370,226,627,370,391,55,184,233,366,1294,9,108,3086,5931,1800
304,183,116,147,1466,36,145,913,3493,2604,139,2712,30,75,81,16,165,9,352,191,611,352,377,54,181,261,352,1280,6,110,3136,5755,1580
295,176,118,147,1484,35,150,863,3358,2512,134,2745,33,73,87,15,166,9,338,208,613,335,371,53,180,192,403,1331,6,110,3315,6812,1690
310,175,123,152,1439,36,151,879,3307,2550,132,2503,37,71,83,16,173,9,324,230,647,335,360,54,177,183,339,1391,5,115,3531,6730,1720
301,169,136,148,1473,37,146,898,3331,2724,130,2185,36,69,82,16,178,9,319,223,666,353,365,53,174,186,337,1412,5,114,3670,6370,1700
290,161,122,147,1426,40,134,839,3340,2636,129,2582,32,67,84,16,173,9,344,225,672,340,346,49,175,170,330,1410,3,112,3749,5767,1620
292,156,108,141,1398,36,132,867,3355,2699,141,2933,27,67,80,16,169,9,339,221,649,346,367,46,170,171,302,1335,6,109,3788,5771,1630
289,152,101,149,1399,31,129,919,3315,2713,146,2849,36,67,84,16,167,9,323,194,646,349,374,43,167,168,299,1282,6,98,3981,5650,1670
290,154,123,152,1325,29,125,858,3242,2713,148,2635,37,68,97,17,170,9,306,218,653,354,364,45,163,146,327,1247,3,99,4302,6030,1590
292,166,116,161,1478,30,117,933,3331,2789,157,2919,40,68,95,17,168,9,356,214,695,355,377,50,166,181,350,1286,6,104,4668,7141,1660
284,167,99,166,1372,32,113,936,3365,2714,154,2938,40,67,95,17,166,9,339,232,676,354,365,50,161,200,358,1264,7,108,4730,6625,1560
277,163,114,167,1510,29,114,852,3367,2602,143,2724,38,66,96,17,162,9,333,221,625,345,350,48,153,191,391,1233,6,101,4544,6381,1740
274,158,108,160,1393,35,124,853,3316,2467,127,2707,31,63,88,17,160,9,313,215,552,342,358,46,147,220,338,1198,9,93,4202,5387,1760
269,153,106,146,1318,36,130,796,3237,2416,112,2527,27,61,88,16,155,9,302,203,521,328,342,45,145,249,373,1267,13,97,4157,5503,1650
272,150,93,138,1336,33,139,743,3139,2353,108,2405,29,61,94,16,158,8,300,188,519,320,334,45,145,176,427,,7,105,,6291,1620
298,153,118,140,1353,,146,,3091,2382,111,2430,32,61,92,17,:,9,289,205,550,319,343,47,146,169,390,,5,,,6556,1560
,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,
